"CODIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECION";"CP";"POBLACION";"PROVINCIA";"PAIS";"CERCANIAS";"FEVE";"COMUN"
"60206";"TEMBLEQUE";"39.7229580";"-3.4973540";"C/ Camino de la Celadilla, S/N";"45770";"TEMBLEQUE";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60207";"EL ROMERAL";"39.6945160";"-3.4305020";"Pla. Esquina del Cristino, S/N";"45770";"ROMERAL (EL)";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60300";"VILLACAÑAS";"39.6226980";"-3.3305100";"Paseo Estación Ferrocarril, S/N";"45860";"VILLACAÑAS";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60301";"QUERO";"39.5041730";"-3.2660720";"Ctra. Estación Ferrocarril, S/N";"45790";"QUERO";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60400";"ALCÁZAR DE SAN JUAN";"39.3956280";"-3.2057440";"C/ Alvarez Guerra, S/N";"13600";"ALCÁZAR DE SAN JUAN";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
"60402";"CAMPO DE CRIPTANA";"39.3943430";"-3.1177460";"Avda. Agustin de la Fuente, 49";"13610";"CAMPO DE CRIPTANA";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
"60406";"SOCUÉLLAMOS";"39.2787760";"-2.7755710";"C/ Estación Ferrocarril, S/N";"13630";"SOCUÉLLAMOS";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
"60500";"VILLARROBLEDO";"39.2608680";"-2.5986210";"C/ Juan Ferreira, S/N";"02600";"VILLARROBLEDO";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60503";"MINAYA";"39.2407380";"-2.3484030";"C/ Estación Ferrocarril, S/N";"02620";"MINAYA";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60505";"LA RODA DE ALBACETE";"39.1995940";"-2.1625470";"Pla. Estación Ferracarril, S/N";"02630";"RODA (LA)";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60507";"LA GINETA";"39.1116650";"-2.0001550";"C/ Santa Ana, S/N";"02110";"GINETA (LA)";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60600";"ALBACETE-LOS LLANOS";"38.9993840";"-1.8484500";"C/ Federico García Lorca, 1";"02001";"ALBACETE";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60800";"ALMANSA";"38.8678220";"-1.1054460";"Pla. Primero de Mayo, 1";"02640";"ALMANSA";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60900";"LA ENCINA";"38.7653440";"-0.9542440";"Avda. Constitucion, 1";"03408";"VILLENA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60901";"CAUDETE";"38.7161630";"-0.9597270";"Ctra. Cv - 656 --- Estación Ferrocarril, S/N";"02660";"CAUDETE";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60902";"VILLENA";"38.6317380";"-0.8676890";"Ronda de la Estación, S/N";"03400";"VILLENA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60904";"SAX";"38.5442510";"-0.8137290";"Luis Barcelo Santoja, 25";"03630";"SAX";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60905";"ELDA-PETRER";"38.4848790";"-0.8010900";"C/ Galicia, S/N";"03600";"ELDA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60907";"NOVELDA-ASPE";"38.4070860";"-0.7777440";"C/ Rafael Altamira, S/N";"03660";"NOVELDA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60911";"ALICANTE/ALACANT-TERMINAL";"38.3447127";"-0.4955241";"Avda. Salamanca, 1";"03005";"ALICANTE/ALACANT";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"60913";"SANT VICENT CENTRE";"38.3946533";"-0.5287247";"Vial del Terraplen, S/N";"03690";"SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"60914";"UNIVERSIDAD DE ALICANTE";"38.3841650";"-0.5284110";"Ctra. San Vicente Raspeig S/Nº";"03690";"ALICANTE/ALACANT";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"61005";"HELLÍN";"38.5087760";"-1.6884370";"Paseo Yutera del Carmen, S/N";"02400";"HELLÍN";"ALBACETE";"ESPAÑA";"NO";"NO";""
"61009";"CALASPARRA";"38.2692600";"-1.6801090";"Calle Estacion Ferrocarril, 8";"30420";"CALASPARRA";"MURCIA";"ESPAÑA";"NO";"NO";""
"61012";"CIEZA";"38.2466090";"-1.4217020";"C/ Estación Ferrocarril, 34";"30530";"CIEZA";"MURCIA";"ESPAÑA";"NO";"NO";""
"61015";"ARCHENA-FORTUNA";"38.1313200";"-1.2360370";"C/ Estación Ferrocarril, S/N";"30627";"MOLINA DE SEGURA";"MURCIA";"ESPAÑA";"NO";"NO";""
"61100";"ALCANTARILLA";"37.9721600";"-1.2157430";"";"";"ALCANTARILLA";"MURCIA";"ESPAÑA";"SI";"NO";""
"61200";"MURCIA DEL CARMEN";"37.9748243";"-1.1315080";"Pza. de la Industria, S/N";"30002";"MURCIA";"MURCIA";"ESPAÑA";"SI";"NO";""
"61303";"BALSICAS-MAR MENOR";"37.8188400";"-0.9508910";"C/ Mar Menor, S/N";"30591";"TORRE-PACHECO";"MURCIA";"ESPAÑA";"SI";"NO";""
"61304";"TORRE-PACHECO";"37.7469050";"-0.9670780";"Avda. Estación Ferrocarril, S/N";"30700";"TORRE-PACHECO";"MURCIA";"ESPAÑA";"SI";"NO";""
"61307";"CARTAGENA";"37.6049670";"-0.9751220";"Pla. de Mejico, 2";"30203";"CARTAGENA";"MURCIA";"ESPAÑA";"NO";"NO";""
"62001";"BENIEL";"38.0448608";"-0.9994759";"Camino de la Estación 15, Beniel (Murcia)";"30130";"BENIEL";"MURCIA";"ESPAÑA";"SI";"NO";""
"62002";"ORIHUELA-MIGUEL HERNÁNDEZ";"38.0779321";"-0.9446060";"Avda Teodomiro, 68";"03300";"ORIHUELA";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62003";"CALLOSA DE SEGURA";"38.1227686";"-0.8745747";"Paseo Estación del Ferrocarril, S/N";"03360";"CALLOSA DE SEGURA";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62100";"SAN ISIDRO-ALBATERA-CATRAL";"38.1670209";"-0.8380854";"Camino de la Estación, 16";"03349";"SAN ISIDRO";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62101";"CREVILLENTE";"38.2245622";"-0.7815283";"Barrio Estación, S/N";"03330";"CREVILLENT";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62102";"ELCHE/ELX-CARRÚS";"38.2689783";"-0.7063992";"Avda. de la Libertad, S/N";"03201";"ELCHE/ELX";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62103";"ELCHE/ELX-PARC";"38.2717809";"-0.6952193";"Avda. del Ferrocarril Este, 10";"03202";"ELCHE/ELX";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62104";"TORRELLANO";"38.2896365";"-0.5824572";"C/ Casa Campo Torrellano Alto P3,82";"03320";"ELCHE/ELX";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62109";"SANT GABRIEL";"38.3290647";"-0.5086866";"Avda. de Elche S/N";"03005";"ALICANTE/ALACANT";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"64003";"MOIXENT";"38.8777975";"-0.7536507";"Estación FF.CC. S/N";"46640";"MOGENTE/MOIXENT";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64007";"LENOVA-MANUEL";"39.0500727";"-0.4776036";"C/ Buenavista, S/N";"46660";"MANUEL";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64100";"XÀTIVA";"38.9921480";"-0.5245402";"Estación FF.CC. S/N";"46800";"XÀTIVA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64101";"MANUEL-L'ENOVA";"39.0501560";"-0.4776180";"";"";"MANUEL";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64102";"LA POBLA LLARGA";"39.0833385";"-0.4696592";"Barrio de la Estación, S/N";"46670";"POBLA LLARGA (LA)";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64103";"CARCAIXENT";"39.1205251";"-0.4544102";"Glorieta de la Estación, S/N";"46740";"CARCAIXENT";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64104";"ALZIRA";"39.1531495";"-0.4506011";"C/ Estación Ferrocarril, S/N";"46600";"ALZIRA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64105";"ALGEMESÍ";"39.1931484";"-0.4409196";"C / Estación Ferrocarril, S/N";"46680";"ALGEMESÍ";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64107";"BENIFAIÓ";"39.2843027";"-0.4299537";"Pla. de la Estación, S/N";"46450";"BENIFAIÓ";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64200";"SILLA";"39.3619548";"-0.4149813";"Estación FF.CC. S/N";"46460";"SILLA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64201";"CATARROJA";"39.4000447";"-0.3992195";"Ronda del Este S/N";"46470";"CATARROJA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64202";"MASSANASSA";"39.4091934";"-0.3953073";"Garcia Lorca S/N";"46470";"MASSANASSA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64203";"ALFAFAR-BENETÚSSER";"39.4224232";"-0.3926050";"C/ Estación Ferrocarril, S/N";"46910";"ALFAFAR";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64210";"ALBAL";"39.3918429";"-0.4026343";"C/ Número Nueve";"";"ALBAL";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65000";"VALÈNCIA-ESTACIÓ DEL NORD";"39.4669305";"-0.3772239";"C/ Xativa, 24";"46007";"VALENCIA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";"VALEN"
"65001";"ROCA-CÚPER";"39.5262094";"-0.3238405";"C/ San Isidro S/N";"46550";"MELIANA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65002";"VALÈNCIA-LA FONT DE SANT LLUÍS";"39.4416052";"-0.3714220";"Camino del Molino de las Fuentes S/N, Valencia";"46026";"VALENCIA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65003";"VALÈNCIA-CABANYAL";"39.4702456";"-0.3346772";"Avda. Blasco Ibañez, S/N";"46022";"VALENCIA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65005";"ALBUIXECH";"39.5435233";"-0.3205526";"Avda Virgen de Albuixech, 23";"46550";"ALBUIXECH";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65006";"MASSALFASSAR";"39.5557532";"-0.3183058";"Estación FF.CC. S/N";"46560";"MASSALFASSAR";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65007";"EL PUIG";"39.5883020";"-0.3116645";"Camino de la Estación, S/N";"46540";"PUIG DE SANTA MARIA (EL)";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65008";"PUÇOL";"39.6205367";"-0.3031085";"Carrer Felipe Sebastian S/N, Puçol (Valencia)";"46530";"PUÇOL";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65200";"SAGUNT";"39.6758025";"-0.2715420";"Estación FF.CC. S/N";"46500";"SAGUNTO/SAGUNT";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65201";"LES VALLS";"39.7193457";"-0.2397602";"Cami Vell D' Almenara, S/N";"46500";"SAGUNTO/SAGUNT";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"65202";"ALMENARA";"39.7487737";"-0.2183811";"C/ Estación de Ferrocarril, S/N";"12590";"ALMENARA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65203";"LA LLOSA";"39.7678109";"-0.2029444";"C/ de la Acequia, S/N";"12591";"LLOSA (LA)";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65204";"CHILCHES/XILXES";"39.7826726";"-0.1903295";"Pza. Jardin, S/N";"12592";"CHILCHES/XILXES";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65205";"MONCOFA";"39.8208891";"-0.1626965";"C/ Estación de Ferrocarril, S/N";"12593";"NULES";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65206";"NULES LA VILLAVELLA";"39.8532354";"-0.1527317";"Ramon Lluch S/N";"12520";"NULES";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65207";"BURRIANA-ALQUERÍAS NIÑO PERDIDO";"39.8965088";"-0.1038601";"C/ Estación Ferrocarril, S/N";"12530";"BORRIANA/BURRIANA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65208";"VILA-REAL";"39.9330935";"-0.0967681";"Avda de Francia 14  16";"12540";"VILA-REAL";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65209";"ALMASSORA";"39.9549079";"-0.0767713";"Ctra. de la Estación, S/N";"12550";"ALMAZORA/ALMASSORA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65300";"CASTELLÓ DE LA PLANA";"39.9884736";"-0.0523456";"C/pintor Oliet, S/N";"12006";"CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65301";"LES PALMES";"40.0213050";"-0.0009230";"";"";"CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"NO";"NO";""
"65304";"ORPESA";"40.0922580";"0.13986100";"Pl. L'Estacio Ferrocarril, S/N";"12594";"OROPESA DEL MAR/ORPESA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65306";"TORREBLANCA";"40.2122110";"0.19877900";"C/ de L'Estacio, 47";"12596";"TORREBLANCA";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65308";"ALCALÁ DE CHIVERT";"40.3046900";"0.22871700";"Passeig Herois del Marroc, S/N";"12570";"ALCALÀ DE XIVERT";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65311";"BENICARLÓ-PEÑÍSCOLA";"40.4276390";"0.41521700";"Pla. Estación Ferrocarril, S/N";"12580";"BENICARLÓ";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65312";"VINARÒS";"40.4716820";"0.45572700";"Pza. Estación Ferrocarril, S/N";"12500";"VINARÒS";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65314";"ULLDECONA-ALCANAR-LA SÉNIA";"40.5959267";"0.44927448";"Passeig de L'Estació, S/N";"43550";"ULLDECONA";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65318";"BENICÀSSIM";"40.0579451";"0.05776460";"Pza. de la Estación S/N, Benicàssim (Castelló)";"12560";"BENICASIM/BENICÀSSIM";"CASTELLÓN/CASTELLÓ";"ESPAÑA";"SI";"NO";""
"65400";"TORTOSA";"40.8073330";"0.52301360";"C/ Poeta Vicente I Garcia, 6 - 12";"43500";"TORTOSA";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65401";"CAMP-REDÓ";"40.7591556";"0.55584433";"C/ Estació Ferrocarril, S/N";"43897";"TORTOSA";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65402";"L'ALDEA-AMPOSTA-TORTOSA";"40.7535640";"0.61430923";"C/ Arrabal de Ramon, S/N";"43896";"ALDEA (L')";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65403";"CAMARLES-DELTEBRE";"40.7747633";"0.67176095";"C/ Estación Ferrocarril, S/N";"43894";"CAMARLES";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65404";"L'AMPOLLA-EL PERELLÓ-DELTEBRE";"40.8119898";"0.70826336";"Pl. Francesc Macià, S/N";"43895";"AMPOLLA (L')";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65405";"L'AMETLLA DE MAR";"40.8862000";"0.80045321";"C/ Goya, S/N";"43860";"AMETLLA DE MAR (L')";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65408";"MONT-ROIG DEL CAMP";"41.0449630";"0.99072200";"Carretera N-340 - Partida Poblas, S/N";"43892";"MONT-ROIG DEL CAMP";"TARRAGONA";"ESPAÑA";"NO";"NO";""
"65410";"SALOU";"41.0774380";"1.12920500";"Calle Carles Roig, S/N";"43840";"SALOU";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65411";"SALOU-PORT AVENTURA";"41.0884798";"1.14605195";"Avenida del 30 Doctubre, S/N";"43840";"SALOU";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65420";"L'HOSPITALET DE L'INFANT";"40.9993900";"0.91253887";"Pl. de L'Estació, S/N";"43891";"VANDELLÒS I L'HOSPITALET DE L'INFANT";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65422";"CAMBRILS";"41.0815642";"1.04603752";"Av. de Charles Robert Darwin, S/N";"43850";"CAMBRILS";"TARRAGONA";"ESPAÑA";"SI";"NO";""
"65555";"VALENCIA ENLACE";"39.4650640";"-0.3774330";"";"";"VALENCIA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";"VALEN"
"66001";"ONTÍGOLA";"40.0008270";"-3.5728960";"Calle Camino Estacion Ferrocarril, S/N";"45340";"ONTÍGOLA";"TOLEDO";"ESPAÑA";"NO";"NO";""
"66002";"OCAÑA";"39.9646630";"-3.4859600";"Calle Estacion Ferrocarril, S/N";"45300";"OCAÑA";"TOLEDO";"ESPAÑA";"NO";"NO";""
"66003";"NOBLEJAS";"39.9725080";"-3.4425830";"Paseo Estacion Ferrocarril, S/N";"45350";"NOBLEJAS";"TOLEDO";"ESPAÑA";"NO";"NO";""
"66004";"VILLARRUBIA DE SANTIAGO";"39.9664310";"-3.3678460";"Calle Estacion Ferrocarril, S/N";"45360";"VILLARRUBIA DE SANTIAGO";"TOLEDO";"ESPAÑA";"NO";"NO";""
"66005";"SANTA CRUZ DE LA ZARZA";"39.9731900";"-3.1804240";"Avenida Castilla la Mancha, S/N";"45370";"SANTA CRUZ DE LA ZARZA";"TOLEDO";"ESPAÑA";"NO";"NO";""
"66006";"TARANCÓN";"40.0065020";"-3.0096910";"Glorieta Estacion Ferrocarril, S/N";"16400";"TARANCÓN";"CUENCA";"ESPAÑA";"NO";"NO";""
"66008";"HUELVES";"40.0435340";"-2.8856920";"";"";"HUELVES";"CUENCA";"ESPAÑA";"NO";"NO";""
"66009";"PAREDES DE MELO";"40.1123290";"-2.7965780";"";"";"PAREDES";"CUENCA";"ESPAÑA";"NO";"NO";""
"66010";"VELLISCA";"40.1123040";"-2.7963100";"";"";"VELLISCA";"CUENCA";"ESPAÑA";"NO";"NO";""
"66011";"HUETE";"40.1471100";"-2.6815970";"Paseo Estacion Ferrocarril, S/N";"16500";"HUETE";"CUENCA";"ESPAÑA";"NO";"NO";""
"66012";"CARACENILLA";"40.1534330";"-2.5684190";"";"";"HUETE";"CUENCA";"ESPAÑA";"NO";"NO";""
"66013";"CASTILLEJO DEL ROMERAL";"40.1371940";"-2.5069210";"Calle Estacion Ferrocarril, S/N";"16541";"HUETE";"CUENCA";"ESPAÑA";"NO";"NO";""
"66014";"CUEVAS DE VELASCO";"40.1554910";"-2.4085160";"Calle Estacion Ferrocarril, S/N";"16542";"VILLAR Y VELASCO";"CUENCA";"ESPAÑA";"NO";"NO";""
"66015";"VILLAR DEL SAZ DE NAVALÓN";"40.1692570";"-2.3570930";"";"";"FUENTENAVA DE JÁBAGA";"CUENCA";"ESPAÑA";"NO";"NO";""
"66016";"CHILLARÓN";"40.1029000";"-2.2209660";"Calle Estacion Ferrocarril, S/N";"16190";"CHILLARÓN DE CUENCA";"CUENCA";"ESPAÑA";"NO";"NO";""
